time,jacobian_compute_time,number_dofs,number_linear_iterations,number_nonlinear_iterations,number_nonlinear_variables,physical_memory_use,residual_compute_time,simulation_alive_time,time_step_size,total_linear_iterations,total_nonlinear_iterations
74184150,188.869995183,253601,19,6,3,7946,933.000375639,2267.56088089,184320,3544,1171
74512357,189.30221955,253601,22,6,3,7946,935.54702792,2273.391303575,328207,3566,1177
74696677,189.805760052,253601,19,7,3,7946,938.015674924,2279.582826791,184320,3585,1184
75065317,190.238347919,253601,20,6,3,7946,940.418134935,2285.245790184,368640,3605,1190
75208844,190.597256379,253601,19,5,3,7946,942.59257064,2290.198913541,143527,3624,1195
75577484,191.028831766,253601,21,6,3,7946,945.070432403,2295.944495786,368640,3645,1201
76314764,191.462282475,253601,21,6,3,7946,947.554403087,2301.703385158,737280,3666,1207
76601818,191.894232477,253601,22,6,3,7946,950.083218787,2307.507844594,287054,3688,1213
77339098,192.327610744,253601,22,6,3,7946,952.632541128,2313.331685211,737280,3710,1219
78339098,192.760708187,253601,20,6,3,7946,955.040463911,2319.004587903,1000000,3730,1225
79339098,194.999525548,253601,79,31,3,7946,965.174242509,2344.602143105,1000000,3809,1256
79387767,195.35337673,253601,17,5,3,7946,967.15317953,2349.337230977,48669,3826,1261
80387767,197.380133274,253601,68,28,3,7946,976.106274101,2372.272494056,1000000,3894,1289
81387767,197.81190153,253601,20,6,3,7946,978.503423091,2377.929125963,1000000,3914,1295
82176746,198.822435837,253601,40,14,3,7946,983.466846277,2390.053514996,788979,3954,1309
83176746,199.25470127,253601,23,6,3,7946,986.083894904,2395.951014553,1000000,3977,1315
84176746,199.687131868,253601,22,6,3,7946,988.630277591,2401.763272778,1000000,3999,1321
84968764,200.117396065,253601,21,6,3,7946,991.097692542,2407.495570532,792018,4020,1327
85968764,201.778701786,253601,59,23,3,7946,998.696221081,2426.647652498,1000000,4079,1350
86968764,202.212487331,253601,21,6,3,7946,1001.179850983,2432.398321075,1000000,4100,1356
87763826,202.644587377,253601,21,6,3,7948,1003.655460973,2438.140424553,795062,4121,1362
88763826,203.150275005,253601,25,7,3,7948,1006.557159416,2444.815756316,1000000,4146,1369
89763826,203.581328008,253601,20,6,3,7950,1008.95874415,2450.475182644,1000000,4166,1375
90555844,204.590235237,253601,39,14,3,7950,1013.854814398,2462.542134229,792018,4205,1389
91555844,205.095953075,253601,24,7,3,7950,1016.69741009,2469.149923295,1000000,4229,1396
92555844,205.530593331,253601,21,6,3,7950,1019.197020504,2474.917441554,1000000,4250,1402
93344824,206.545403439,253601,40,14,3,7951,1024.178280495,2487.080865241,788980,4290,1416
94344824,206.980022647,253601,21,6,3,7955,1026.667884738,2492.838712108,1000000,4311,1422
95344824,207.415203246,253601,20,6,3,7955,1029.092278457,2498.520873072,1000000,4331,1428
96130772,208.428355703,253601,40,14,3,7955,1034.082933255,2510.683671232,785948,4371,1442
97130772,208.861931987,253601,22,6,3,7966,1036.639816961,2516.513789826,1000000,4393,1448
98130772,209.296413519,253601,20,6,3,7966,1039.064124857,2522.196934025,1000000,4413,1454
98910677,210.384101847,253601,42,15,3,7966,1044.339443947,2535.123563993,779905,4455,1469
99910677,210.818670097,253601,21,6,3,7966,1046.831975739,2540.883565525,1000000,4476,1475
100910677,211.25260573,253601,20,6,3,7967,1049.250158887,2546.560994583,1000000,4496,1481
101684565,212.266227258,253601,41,14,3,7967,1054.299720287,2558.773846089,773888,4537,1495
102684565,212.699823822,253601,20,6,3,7967,1056.723337591,2564.457495873,1000000,4557,1501
103684565,213.134130539,253601,21,6,3,7967,1059.216145602,2570.21395128,1000000,4578,1507
104452461,214.147434019,253601,41,14,3,7967,1064.272363193,2582.434734147,767896,4619,1521
105452461,214.582072411,253601,20,6,3,7967,1066.709379444,2588.133903666,1000000,4639,1527
106452461,215.016630357,253601,21,6,3,7967,1069.214205069,2593.900185661,1000000,4660,1533
107214393,215.451085047,253601,21,6,3,7967,1071.697726998,2599.645793621,761932,4681,1539
108214393,216.538169649,253601,41,15,3,7967,1076.907906394,2612.490954569,1000000,4722,1554
109214393,216.972178563,253601,22,6,3,7967,1079.465115564,2618.317863006,1000000,4744,1560
109970384,217.405107283,253601,21,6,3,7967,1081.95516218,2624.068771055,755991,4765,1566
110596668,218.418553774,253601,38,14,3,8028,1086.799251456,2636.073970674,626284,4803,1580
110596758,237.106124776,253601,146,62,3,8039,1168.72391414,2846.043293078,90,4949,1642
110596848,238.53248265,253601,61,20,3,8039,1175.860258278,2863.258583608,90,5010,1662
110596893,256.25189269,253601,104,49,3,8046,1250.924787887,3059.760161192,45,5114,1711
110596938,260.305066192,253601,136,57,3,8048,1268.269823862,3105.054141472,45,5250,1768
110596983,269.895938453,253601,71,35,3,8053,1307.080351717,3209.575165859,45,5321,1803
110597028,274.352397676,253601,138,63,3,8053,1325.25663744,3258.463039208,45,5459,1866
110597118,275.981086624,253601,63,23,3,8053,1332.871194542,3277.55656403,90,5522,1889
110597298,276.618059633,253601,27,9,3,8053,1336.111809513,3285.50700171,180,5549,1898
110597658,277.186252839,253601,22,8,3,8053,1338.87482168,3292.465913689,360,5571,1906
110598378,277.398273853,253601,9,3,3,8053,1340.040265179,3295.394343515,720,5580,1909
110599818,277.610603608,253601,10,3,3,8053,1341.273083985,3298.395343497,1440,5590,1912
110602698,277.822892071,253601,10,3,3,8053,1342.500613333,3301.390412706,2880,5600,1915
110608458,278.106584088,253601,17,4,3,8053,1344.356448479,3305.530269422,5760,5617,1919
110619978,278.461270507,253601,18,5,3,8053,1346.420976709,3310.35400921,11520,5635,1924
110643018,278.816183798,253601,18,5,3,8053,1348.486955303,3315.169216461,23040,5653,1929
110689098,279.171592591,253601,18,5,3,8055,1350.541301151,3319.983225098,46080,5671,1934
110781258,279.527201724,253601,18,5,3,8055,1352.61152291,3324.815045179,92160,5689,1939
110965578,279.885473605,253601,19,5,3,8057,1354.786128909,3329.759209396,184320,5708,1944
111326530,280.31726508,253601,20,6,3,8057,1357.180309987,3335.404357361,360952,5728,1950
111510850,280.747827644,253601,21,6,3,8057,1359.637997745,3341.121331672,184320,5749,1956
111879490,281.252559701,253601,21,7,3,8057,1362.253890601,3347.471387813,368640,5770,1963
112051245,281.683772358,253601,21,6,3,8057,1364.704069868,3353.187816821,171755,5791,1969
112419885,282.117754873,253601,22,6,3,8057,1367.249356782,3359.005895245,368640,5813,1975
113157165,282.550909683,253601,20,6,3,8057,1369.656516298,3364.672148468,737280,5833,1981
113487481,282.983747459,253601,20,6,3,8057,1372.072939337,3370.348171585,330316,5853,1987
114224761,284.139307253,253601,44,16,3,8057,1377.610700792,3384.012927851,737280,5897,2003
115224761,284.572122811,253601,22,6,3,8057,1380.174536328,3389.83995333,1000000,5919,2009
116224761,285.005248273,253601,22,6,3,8057,1382.717309817,3395.64806706,1000000,5941,2015
116330378,285.361818057,253601,19,5,3,8059,1384.858627445,3400.553349851,105617,5960,2020
117330378,286.446706542,253601,45,15,3,8059,1390.322988024,3413.668444822,1000000,6005,2035
118330378,286.880839454,253601,22,6,3,8059,1392.886151198,3419.496507086,1000000,6027,2041
119151491,287.315026917,253601,21,6,3,8059,1395.374242006,3425.241144992,821113,6048,2047
120151491,288.400105412,253601,44,15,3,8059,1400.784289838,3438.297579159,1000000,6092,2062
121151491,288.834059936,253601,22,6,3,8064,1403.350820482,3444.125032008,1000000,6114,2068
121958265,289.268342053,253601,20,6,3,8064,1405.760714197,3449.7866531,806774,6134,2074
122958265,290.35829873,253601,43,15,3,8064,1411.109021996,3462.774654052,1000000,6177,2089
123958265,290.793446168,253601,21,6,3,8064,1413.603502099,3468.534348859,1000000,6198,2095
124754381,291.227949535,253601,21,6,3,8064,1416.089701248,3474.279560257,796116,6219,2101
125754381,291.736879215,253601,24,7,3,8064,1418.946509276,3480.897595181,1000000,6243,2108
126754381,292.172317536,253601,22,6,3,8064,1421.509100961,3486.723142283,1000000,6265,2114
127536410,292.607619413,253601,20,6,3,8064,1423.934782334,3492.402150511,782029,6285,2120
128536410,293.696303781,253601,41,15,3,8064,1429.144085269,3505.234439962,1000000,6326,2135
129536410,294.131183135,253601,21,6,3,8064,1431.629294571,3510.979351314,1000000,6347,2141
130307968,294.565466575,253601,20,6,3,8064,1434.046426938,3516.649043129,771558,6367,2147
131307968,295.727026539,253601,44,16,3,8064,1439.623556559,3530.34274233,1000000,6411,2163
132307968,296.162134367,253601,21,6,3,8064,1442.116565285,3536.099122422,1000000,6432,2169
133069132,296.595360314,253601,19,6,3,8064,1444.457815468,3541.682623143,761164,6451,2175
134069132,297.027510493,253601,19,6,3,8064,1446.797595709,3547.266548449,1000000,6470,2181
135069132,297.462190203,253601,22,6,3,8064,1449.364231811,3553.090753012,1000000,6492,2187
135819981,298.479945097,253601,37,14,3,8064,1454.153647471,3565.017916046,750849,6529,2201
136819981,298.915221458,253601,20,6,3,8064,1456.586223529,3570.708800474,1000000,6549,2207
137819981,299.350845834,253601,21,6,3,8064,1459.091978943,3576.477240692,1000000,6570,2213
138560590,299.785832058,253601,21,6,3,8064,1461.592683462,3582.23809684,740609,6591,2219
139560590,300.802659422,253601,38,14,3,8064,1466.470550385,3594.248384557,1000000,6629,2233
140560590,301.23877333,253601,21,6,3,8064,1468.986464443,3600.023731699,1000000,6650,2239
141291037,301.673563768,253601,22,6,3,8064,1471.563510627,3605.870626774,730447,6672,2245
142291037,302.109405673,253601,19,6,3,8064,1473.92426213,3611.479586491,1000000,6691,2251
143291037,302.543726683,253601,21,6,3,8066,1476.428274649,3617.23777873,1000000,6712,2257
144011395,303.56003836,253601,39,14,3,8066,1481.362060937,3629.323645875,720358,6751,2271
145011395,303.995486492,253601,20,6,3,8066,1483.799235028,3635.008478911,1000000,6771,2277
146011395,304.432867901,253601,20,6,3,8066,1486.241879129,3640.70622197,1000000,6791,2283
146526972,304.868075795,253601,20,6,3,8069,1488.677190373,3646.388951585,515577,6811,2289
146527152,313.924754323,253601,59,27,3,8076,1527.42278774,3747.087339398,180,6870,2316
146527332,317.768112563,253601,135,54,3,8076,1544.332750989,3790.481076013,180,7005,2370
146527692,318.408285064,253601,28,9,3,8076,1547.647480886,3798.483978897,360,7033,2379
146528412,318.69226008,253601,11,4,3,8076,1549.090319468,3802.16609558,720,7044,2383
146529852,318.976595968,253601,10,4,3,8076,1550.477286077,3805.786466265,1440,7054,2387
146532732,319.260776901,253601,10,4,3,8076,1551.853278561,3809.394585616,2880,7064,2391
146538492,319.544385908,253601,10,4,3,8076,1553.232123827,3813.010126946,5760,7074,2395
146550012,319.900674131,253601,14,5,3,8076,1555.028244672,3817.532734667,11520,7088,2400
146573052,320.257789486,253601,14,5,3,8076,1556.822032565,3822.05642653,23040,7102,2405
146584572,336.042803362,253601,47,22,3,8083,1623.198784673,3996.352998307,11520,7149,2427
146596092,336.391870417,253601,14,5,3,8083,1624.975813794,4000.85309386,11520,7163,2432
146619132,336.739479234,253601,14,5,3,8083,1626.741888718,4005.336789902,23040,7177,2437
146665212,337.088528145,253601,14,5,3,8083,1628.509146804,4009.825792765,46080,7191,2442
146757372,337.437636657,253601,15,5,3,8083,1630.338027508,4014.392830192,92160,7206,2447
146941692,337.859498611,253601,18,6,3,8083,1632.542463024,4019.806823258,184320,7224,2453
147256920,338.283153277,253601,19,6,3,8083,1634.83529021,4025.31630399,315228,7243,2459
147441240,338.702098856,253601,20,6,3,8083,1637.172088493,4030.879533016,184320,7263,2465
147809880,339.12678945,253601,19,6,3,8083,1639.453051995,4036.374671248,368640,7282,2471
147982421,339.54665262,253601,17,6,3,8083,1641.581955795,4041.707846462,172541,7299,2477
148351061,339.970552332,253601,21,6,3,8083,1644.014064821,4047.367748685,368640,7320,2483
149088341,340.395296535,253601,19,6,3,8083,1646.316981072,4052.892709529,737280,7339,2489
149419335,340.817720954,253601,18,6,3,8083,1648.54511845,4058.336445692,330994,7357,2495
150156615,341.874408586,253601,43,15,3,8083,1653.75449675,4071.126608191,737280,7400,2510
151156615,342.297359464,253601,19,6,3,8083,1656.035402834,4076.619872814,1000000,7419,2516
152156615,342.719311217,253601,19,6,3,8087,1658.318469373,4082.113878634,1000000,7438,2522
152261627,343.134398189,253601,19,6,3,8087,1660.529428435,4087.530128599,105012,7457,2528
153261627,343.557465014,253601,21,6,3,8087,1662.956884503,4093.186081645,1000000,7478,2534
154261627,344.611364816,253601,41,15,3,8087,1667.997748244,4105.781786078,1000000,7519,2549
155092269,345.033379804,253601,20,6,3,8087,1670.345066225,4111.345372336,830642,7539,2555
156092269,345.454960399,253601,22,6,3,8087,1672.838454098,4117.067750342,1000000,7561,2561
157092269,345.807024582,253601,17,5,3,8087,1674.856783213,4121.821159375,1000000,7578,2566
157911358,346.229272209,253601,20,6,3,8087,1677.208716478,4127.400320503,819089,7598,2572
158911358,348.489143618,253601,78,32,3,8087,1687.220480275,4153.165848715,1000000,7676,2604
159911358,348.841615769,253601,17,5,3,8089,1689.233250166,4157.916685363,1000000,7693,2609
160722797,349.194025905,253601,15,5,3,8089,1691.112212361,4162.521371711,811439,7708,2614
161722797,349.617244498,253601,18,6,3,8089,1693.332902267,4167.962164262,1000000,7726,2620
162722797,350.041006871,253601,21,6,3,8089,1695.768397277,4173.632265636,1000000,7747,2626
163519059,350.465202882,253601,19,6,3,8089,1698.062069772,4179.146492525,796262,7766,2632
164519059,352.516917484,253601,68,29,3,8089,1706.984422206,4202.370746509,1000000,7834,2661
165519059,352.941041652,253601,21,6,3,8089,1709.4234511,4208.047104534,1000000,7855,2667
166304046,353.365843193,253601,21,6,3,8091,1711.86422059,4213.720230655,784987,7876,2673
167304046,353.790343015,253601,20,6,3,8091,1714.243048387,4219.330102822,1000000,7896,2679
168304046,354.214667984,253601,20,6,3,8091,1716.618673581,4224.932610348,1000000,7916,2685
169077849,354.637003745,253601,20,6,3,8091,1718.989173608,4230.530540881,773803,7936,2691
170077849,355.700065174,253601,39,15,3,8091,1723.953707289,4243.066931215,1000000,7975,2706
171077849,356.690688127,253601,37,14,3,8095,1728.64602273,4254.849944894,1000000,8012,2720
171833208,357.115276191,253601,20,6,3,8095,1731.020658711,4260.450972759,755359,8032,2726
172833208,357.540085335,253601,19,6,3,8095,1733.328764267,4265.989271393,1000000,8051,2732
173833208,357.963682518,253601,21,6,3,8095,1735.773121999,4271.671523257,1000000,8072,2738
174573989,358.386887678,253601,19,6,3,8095,1738.072332757,4277.197961987,740781,8091,2744
175573989,360.945107004,253601,83,36,3,8095,1749.083134427,4305.94811369,1000000,8174,2780
176573989,361.369293711,253601,20,6,3,8095,1751.462280774,4311.561725385,1000000,8194,2786
177296762,361.795303223,253601,20,6,3,8101,1753.850623938,4317.182690153,722773,8214,2792
177922434,362.22120282,253601,18,6,3,8102,1756.095154404,4322.655163711,625672,8232,2798
177922794,363.443846231,253601,51,19,3,8102,1761.594868481,4337.229975346,360,8283,2817
